Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08415088 Römerstein;3046;2810;236;0;2355;222;26;2329;1268;378;288;173;;;;;;45;90;;;22;20;;;45;;;
08415089 Engstingen;3969;3588;381;0;2864;364;38;2826;1358;536;532;174;;;;;;60;28;;;42;21;;;75;;;
08415090 Hohenstein;2733;2468;263;2;2048;252;30;2018;1071;352;324;139;;;;;;34;18;;;22;23;;;35;;;
08415091 Sonnenbühl;5388;4921;467;0;3781;449;67;3714;1827;711;601;241;;;;;;103;60;;;55;48;;;68;;;
08415092 Lichtenstein;6423;5737;686;0;4357;657;44;4313;1901;1014;786;300;;;;;;101;50;;;40;45;;;76;;;
08415093 St. Johann;4095;3612;483;0;3040;459;51;2989;1345;517;593;249;;;;;;78;50;;;57;44;;;56;;;
08415991 Briefwahl für mehrere Gemeinden;;;;;204;204;0;204;78;45;52;13;;;;;;6;4;;;0;2;;;4;;;
08416006 Bodelshausen;3863;3507;356;0;2430;350;28;2402;952;591;494;127;;24;;;;78;36;;20;19;11;;;50;;;
08416009 Dettenhausen;4025;3443;582;0;3035;558;24;3011;1203;643;730;183;;25;;;;53;35;;10;27;13;;;89;;;
08416011 Dußlingen;3901;3491;410;0;2739;398;35;2704;1005;703;650;113;11;;;;;91;20;;;16;24;;;71;;;
08416015 Gomaringen;6200;5486;714;0;4534;675;45;4489;1841;1011;1100;212;19;;;;;106;33;;;37;51;;;79;;;
08416018 Hirrlingen;2228;2053;175;0;1510;171;22;1488;723;253;311;59;;12;;;;40;16;;12;10;17;;;35;;;
08416022 Kirchentellinsfurt;4090;3453;637;0;3013;615;36;2977;1002;722;901;151;20;;;;;67;17;;;16;24;;;57;;;
08416023 Kusterdingen;6060;5184;876;0;4741;841;33;4708;1491;1053;1544;284;23;;;;;121;42;;;23;35;;;92;;;
08416025 Mössingen, Stadt;14236;12953;1283;0;9550;1207;106;9444;3617;2153;2342;427;;137;;;;269;147;;62;90;42;;;158;;;
08416026 Nehren;3007;2630;377;0;2081;364;22;2059;647;626;542;90;14;;;;;64;17;;;11;14;;;34;;;
08416031 Ofterdingen;3247;2902;345;0;2235;332;28;2207;853;591;453;111;;12;;;;66;30;;16;16;10;;;49;;;
08416036 Rottenburg am Neckar, Stadt;29712;26061;3651;0;21149;3452;240;20909;8600;4230;5054;1088;;117;;;;643;283;;156;193;99;;;446;;;
08416041 Tübingen, Universitätsstadt;59432;47801;11631;0;45668;10969;291;45377;10536;10297;18529;2087;;201;;;;1987;211;;124;138;189;;;1078;;;
08416048 Ammerbuch;8125;7225;900;0;6280;859;52;6228;2356;1248;1823;281;;35;;;;145;82;;46;64;33;;;115;;;
08416049 Neustetten;2418;2231;187;0;1732;182;19;1713;793;336;301;108;;11;;;;39;30;;13;22;19;;;41;;;
08416050 Starzach;3229;2883;346;0;2215;326;40;2175;846;397;463;241;;15;;;;58;54;;18;20;20;;;43;;;
08417002 Balingen, Stadt;25927;23134;2793;0;16395;2689;206;16189;6627;4212;3382;742;;;;;;441;180;;;155;145;;;305;;;
08417008 Bisingen;6904;6316;588;0;4319;557;76;4243;1721;1060;913;172;;;;;;124;49;;;73;46;;;85;;;
08417010 Bitz;2919;2611;308;0;1857;287;33;1824;808;482;273;88;;;;;;37;32;;;29;30;;;45;;;
08417013 Burladingen, Stadt;9216;8411;805;0;5979;772;109;5870;3112;1091;806;291;;;;;;192;66;;;120;54;;;138;;;
08417014 Dautmergen;319;303;16;0;209;0;6;203;124;25;26;9;;;;;;4;3;;;7;1;;;4;;;
08417015 Dormettingen;767;688;79;0;584;79;6;578;334;83;102;29;;;;;;9;1;;;6;8;;;6;;;
08417016 Dotternhausen;1388;1199;189;0;979;183;11;968;444;213;186;47;;;;;;21;5;;;13;15;;;24;;;
08417022 Geislingen, Stadt;4671;4294;377;0;3196;354;56;3140;1885;478;433;74;;;;;;64;56;;;51;36;;;63;;;
08417023 Grosselfingen;1597;1465;132;0;917;121;22;895;420;168;184;35;;;;;;34;17;;;11;8;;;18;;;
08417025 Haigerloch, Stadt;7969;7358;611;0;5063;571;85;4978;2523;853;906;214;;;;;;134;70;;;89;74;;;115;;;
08417029 Hausen am Tann;363;336;27;0;221;0;2;219;116;41;39;6;;;;;;3;4;;;3;3;;;4;;;
08417031 Hechingen, Stadt;13752;12574;1178;0;8338;1118;135;8203;3255;1903;1680;561;;;;;;412;75;;;95;68;;;154;;;
08417036 Jungingen;1116;1000;116;0;758;109;11;747;308;154;164;50;;;;;;34;8;;;6;9;;;14;;;
08417044 Meßstetten, Stadt;7994;7348;646;0;5259;618;84;5175;2614;991;784;274;;;;;;162;98;;;73;54;;;125;;;
08417045 Nusplingen;1453;1316;137;0;1024;132;15;1009;699;120;76;41;;;;;;20;10;;;7;11;;;25;;;
08417047 Obernheim;1109;1001;108;0;786;98;13;773;434;141;93;30;;;;;;23;19;;;11;8;;;14;;;
08417051 Rangendingen;3963;3722;241;0;2574;235;32;2542;1227;556;411;104;;;;;;80;36;;;37;32;;;59;;;
08417052 Ratshausen;605;555;50;0;377;0;11;366;172;70;58;17;;;;;;10;7;;;13;6;;;13;;;
08417054 Rosenfeld, Stadt;4812;4421;391;0;3130;368;76;3054;1451;555;565;160;;;;;;80;41;;;74;59;;;69;;;
08417057 Schömberg, Stadt;3226;2938;288;0;2128;272;44;2084;1084;420;343;70;;;;;;40;18;;;32;28;;;49;;;
08417063 Straßberg;2049;1784;265;0;1428;256;25;1403;752;279;180;48;;;;;;27;27;;;29;16;;;45;;;
08417071 Weilen unter den Rinnen;437;398;39;0;308;0;8;300;177;30;60;8;;;;;;3;2;;;2;7;;;11;;;
08417075 Winterlingen;4829;4395;434;0;3198;420;43;3155;1557;676;459;139;;;;;;74;36;;;37;23;;;154;;;
08417078 Zimmern unter der Burg;369;346;23;0;236;0;4;232;134;32;36;10;;;;;;0;6;;;5;3;;;6;;;
08417079 Albstadt, Stadt;32497;29385;3111;1;19543;2944;292;19251;8284;5902;2736;857;;;;;;523;167;;;275;161;;;346;;;
08417991 Briefwahl für mehrere Gemeinden;;;;;129;129;1;128;70;22;19;4;;;;;;3;2;;;1;3;;;4;;;
08421000 Ulm, Universitätsstadt;80867;70801;10066;0;51179;9459;587;50592;17905;12759;13259;2188;;248;;;;1597;359;282;;364;284;;;1347;;;
08425002 Allmendingen;3279;3060;219;0;2233;206;26;2207;1292;305;349;93;;;;;;34;40;;;30;24;;;40;;;
08425004 Altheim;423;405;18;0;296;0;9;287;188;41;22;15;;;;;;3;6;;;6;2;;;4;;;
08425005 Altheim (Alb);1330;1225;105;0;881;1;14;867;421;162;159;39;;;;;;20;11;;;14;19;;;22;;;
08425008 Amstetten;2747;2574;173;0;1661;3;19;1642;808;305;307;54;;;;;;59;20;;;30;23;;;36;;;
08425011 Asselfingen;767;737;30;0;532;0;7;525;259;89;121;11;;;;;;9;11;;;11;4;;;10;;;
08425013 Ballendorf;509;490;19;0;377;2;8;369;211;48;68;19;;;;;;2;3;;;11;2;;;5;;;
08425014 Beimerstetten;1881;1679;202;0;1143;0;17;1126;473;255;278;45;;;;;;29;7;;;3;5;;;31;;;
08425017 Berghülen;1456;1339;117;0;1069;111;17;1052;577;144;185;45;;;;;;10;8;;;5;52;;;26;;;
08425019 Bernstadt;1624;1467;157;0;991;0;15;976;497;193;169;36;;;;;;14;19;;;19;11;;;18;;;
08425020 Blaubeuren, Stadt;8359;7432;927;0;5661;876;82;5579;2211;1276;1420;202;;;;;;126;75;;;47;122;;;100;;;
08425022 Börslingen;133;130;3;0;92;0;0;92;57;13;14;7;;;;;;1;0;;;0;0;;;0;;;
08425024 Breitingen;208;187;21;0;138;0;2;136;56;30;28;7;;;;;;2;1;;;5;2;;;5;;;
08425028 Dietenheim, Stadt;4650;4227;423;0;2628;400;29;2599;1319;514;419;70;;51;;;;71;36;7;;39;24;;;49;;;
08425031 Dornstadt;6500;5808;692;0;4338;663;54;4284;2014;795;925;171;;;;;;93;52;;;32;51;;;151;;;
08425033 Ehingen (Donau), Stadt;17268;15685;1583;0;10683;1493;112;10571;5976;1651;1781;363;;;;;;207;123;;;81;92;;;297;;;
08425035 Emeringen;113;111;2;0;92;0;2;90;67;3;12;3;;;;;;2;1;;;0;0;;;2;;;
08425036 Emerkingen;592;557;35;0;414;0;12;402;263;38;57;13;;;;;;4;10;;;2;5;;;10;;;
08425039 Erbach, Stadt;9827;8870;957;0;6585;912;100;6485;2920;1378;1510;211;;36;;;;96;58;25;;55;31;;;165;;;
08425050 Griesingen;773;739;34;0;493;0;2;491;279;76;90;14;;;;;;3;4;;;5;5;;;15;;;
08425052 Grundsheim;149;145;4;0;118;0;2;116;95;7;4;0;;;;;;5;4;;;1;0;;;0;;;
08425055 Hausen am Bussen;204;188;16;0;149;0;2;147;83;15;21;13;;;;;;3;1;;;1;4;;;6;;;
08425062 Holzkirch;215;207;8;0;150;0;4;146;93;13;18;3;;;;;;3;2;;;2;7;;;5;;;
08425064 Hüttisheim;1044;979;65;0;646;0;11;635;374;111;98;14;;5;;;;8;3;2;;5;3;;;12;;;
08425066 Illerrieden;2604;2375;229;0;1831;219;22;1809;827;377;372;60;;38;;;;36;20;6;;30;10;;;33;;;
08425071 Laichingen, Stadt;7805;7088;717;0;5153;690;75;5078;2627;854;880;256;;;;;;84;80;;;50;156;;;91;;;
08425072 Langenau, Stadt;10265;9380;885;0;6914;847;74;6840;2944;1454;1598;241;;;;;;148;82;;;103;108;;;162;;;
08425073 Lauterach;425;406;19;0;284;0;3;281;190;24;35;11;;;;;;4;3;;;3;3;;;8;;;
08425075 Lonsee;3526;3217;309;0;2538;291;47;2491;1103;501;560;101;;;;;;57;34;;;28;26;;;81;;;
08425079 Merklingen;1442;1309;133;0;875;0;16;859;454;157;153;26;;;;;;14;7;;;13;15;;;20;;;
08425081 Munderkingen, Stadt;3619;3287;332;0;2173;328;28;2145;1195;369;374;65;;;;;;47;22;;;9;20;;;44;;;
08425083 Neenstetten;612;567;45;0;414;0;5;409;214;67;92;13;;;;;;9;0;;;3;8;;;3;;;
08425084 Nellingen;1372;1297;75;0;968;69;11;957;567;110;162;44;;;;;;21;21;;;5;9;;;18;;;
08425085 Nerenstetten;263;247;16;0;173;0;0;173;77;20;44;6;;;;;;5;4;;;2;2;;;13;;;
08425088 Oberdischingen;1541;1414;127;0;963;0;24;939;481;173;179;22;;;;;;23;9;;;11;10;;;31;;;
08425090 Obermarchtal;932;859;73;0;655;0;8;647;424;71;87;13;;;;;;3;4;;;4;11;;;30;;;
08425091 Oberstadion;1192;1134;58;0;783;0;13;770;501;89;83;28;;;;;;12;11;;;7;15;;;24;;;
08425092 Öllingen;384;356;28;0;254;2;5;249;132;40;36;13;;;;;;8;4;;;6;4;;;6;;;
08425093 Öpfingen;1687;1534;153;0;996;2;10;986;482;197;208;32;;;;;;18;6;;;12;10;;;21;;;
08425097 Rammingen;954;853;101;0;585;0;7;578;296;106;95;16;;;;;;18;12;;;14;7;;;14;;;
08425098 Rechtenstein;235;214;21;0;167;0;2;165;94;27;27;2;;;;;;3;2;;;6;2;;;2;;;
08425104 Rottenacker;1580;1456;124;0;947;0;12;935;428;232;167;30;;;;;;22;9;;;8;5;;;34;;;
08425108 Schelklingen, Stadt;4989;4584;405;0;3297;393;51;3246;1657;658;551;125;;;;;;62;44;;;31;37;;;81;;;
08425110 Schnürpflingen;1009;949;60;0;639;2;18;621;297;125;109;20;;10;;;;19;9;1;;14;3;;;14;;;
08425112 Setzingen;507;468;39;0;317;1;2;315;160;53;55;10;;;;;;6;10;;;9;9;;;3;;;
08425123 Untermarchtal;742;561;181;0;460;70;1;459;301;83;43;10;;;;;;3;3;;;3;1;;;12;;;
08425124 Unterstadion;580;562;18;0;418;0;9;409;292;37;35;11;;;;;;8;13;;;2;2;;;9;;;
08425125 Unterwachingen;142;135;7;0;114;0;3;111;80;8;10;1;;;;;;4;1;;;1;0;;;6;;;
08425130 Weidenstetten;947;902;45;0;656;1;2;654;333;119;126;26;;;;;;6;4;;;9;21;;;10;;;
08425134 Westerheim;2254;1989;265;0;1440;3;19;1421;884;161;269;26;;;;;;8;17;;;6;23;;;27;;;
08425135 Westerstetten;1681;1557;124;0;1114;0;11;1103;475;207;275;45;;;;;;25;11;;;13;19;;;33;;;
08425137 Illerkirchberg;3532;3166;366;0;2415;347;29;2386;1063;498;554;75;;16;;;;62;19;12;;21;19;;;47;;;
08425138 Staig;2449;2208;241;0;1723;232;24;1699;828;343;356;59;;14;;;;24;21;4;;9;13;;;28;;;
08425139 Heroldstatt;2030;1913;117;0;1422;114;18;1404;779;220;221;77;;;;;;16;18;;;15;25;;;33;;;
08425140 Balzheim;1407;1300;107;0;788;0;9;779;389;129;147;17;;16;;;;12;9;0;;18;13;;;29;;;
08425141 Blaustein;11253;10093;1160;0;7949;1091;87;7862;3173;1831;1850;348;;28;;;;236;74;14;;79;48;;;181;;;
08425991 Briefwahl für mehrere Gemeinden;;;;;218;218;0;218;97;37;35;10;;8;;;;8;7;5;;2;3;;;6;;;
08425992 Briefwahl für mehrere Gemeinden;;;;;2101;2101;16;2085;1010;341;451;112;;;;;;47;30;;;22;28;;;44;;;
08426001 Achstetten;3053;2813;240;0;2109;221;34;2075;1058;315;397;98;;;;;;45;43;;;21;22;;;76;;;
08426005 Alleshausen;385;371;14;0;309;0;6;303;225;25;28;7;;;;;;5;4;;;0;6;;;3;;;
08426006 Allmannsweiler;236;229;7;0;163;0;6;157;96;20;20;4;;;;;;5;5;;;2;1;;;4;;;
08426008 Altheim;1670;1533;137;0;1214;134;31;1183;673;163;198;52;;;;;;20;17;;;9;22;;;29;;;
08426011 Attenweiler;1382;1295;87;0;899;0;14;885;509;134;126;35;;;;;;15;19;;;11;13;;;23;;;
08426013 Bad Buchau, Stadt;3173;2877;296;0;1792;278;34;1758;934;314;272;77;;;;;;58;18;;;12;23;;;50;;;
08426014 Bad Schussenried, Stadt;6208;5592;616;0;3809;584;34;3775;1841;613;784;161;;;;;;120;75;;;57;40;;;84;;;
08426019 Berkheim;1981;1737;244;0;1469;239;36;1433;786;190;260;55;;;;;;24;33;;;30;38;;;17;;;
08426020 Betzenweiler;556;525;31;0;380;0;5;375;240;41;41;12;;;;;;8;5;;;3;12;;;13;;;
08426021 Biberach an der Riß, Stadt;23628;20559;3069;0;14858;2931;173;14685;5847;3490;3408;850;;;;;;375;177;;;86;183;;;269;;;
08426028 Burgrieden;2709;2494;215;0;1693;210;24;1669;838;279;313;85;;;;;;44;36;;;11;24;;;39;;;
08426031 Dettingen an der Iller;1721;1650;71;0;1023;67;10;1013;525;159;183;24;;;;;;15;11;;;12;56;;;28;;;
08426035 Dürmentingen;1988;1853;135;0;1345;128;27;1318;784;180;154;62;;;;;;29;33;;;18;24;;;34;;;
08426036 Dürnau;354;326;28;0;218;0;3;215;117;24;49;5;;;;;;4;3;;;0;5;;;8;;;
08426038 Eberhardzell;3210;2992;218;0;2148;200;29;2119;1237;254;352;82;;;;;;23;42;;;20;56;;;53;;;
08426043 Erlenmoos;1233;1156;77;0;805;0;9;796;442;131;107;34;;;;;;16;19;;;12;15;;;20;;;
08426044 Erolzheim;2375;2196;179;0;1469;171;17;1452;807;188;263;53;;;;;;27;23;;;21;50;;;20;;;
08426045 Ertingen;4131;3717;414;0;2464;397;36;2428;1481;291;318;106;;;;;;72;48;;;14;41;;;57;;;
08426058 Hochdorf;1644;1518;126;0;1227;121;13;1214;639;185;245;57;;;;;;23;17;;;4;20;;;24;;;
08426062 Ingoldingen;2112;1994;118;0;1474;111;23;1451;825;241;222;51;;;;;;23;31;;;7;25;;;26;;;
08426064 Kanzach;398;387;11;0;275;0;6;269;137;42;43;12;;;;;;4;8;;;3;11;;;9;;;
08426065 Kirchberg an der Iller;1452;1293;159;0;952;157;14;938;442;162;143;37;;;;;;28;14;;;6;93;;;13;;;
08426066 Kirchdorf an der Iller;2520;2372;148;0;1449;137;23;1426;819;215;193;39;;;;;;31;12;;;23;58;;;36;;;
08426067 Langenenslingen;2651;2493;158;0;1907;141;36;1871;1206;195;238;76;;;;;;39;30;;;15;33;;;39;;;
08426070 Laupheim, Stadt;14459;13095;1364;0;9055;1288;115;8940;4356;1672;1728;382;;;;;;217;131;;;61;144;;;249;;;
08426071 Maselheim;3340;3051;289;0;2211;274;29;2182;1115;326;449;71;;;;;;46;58;;;16;54;;;47;;;
08426073 Mietingen;3129;2940;189;0;2163;179;24;2139;1221;262;362;81;;;;;;40;44;;;28;29;;;72;;;
08426074 Mittelbiberach;3039;2710;329;0;2169;318;16;2153;906;466;518;107;;;;;;57;29;;;6;33;;;31;;;
08426078 Moosburg;185;181;4;0;136;0;3;133;78;17;25;4;;;;;;4;2;;;0;1;;;2;;;
08426087 Ochsenhausen, Stadt;6322;5778;544;0;4042;510;45;3997;2023;630;808;180;;;;;;72;90;;;45;79;;;70;;;
08426090 Oggelshausen;720;673;47;0;462;0;6;456;316;46;43;17;;;;;;8;8;;;3;6;;;9;;;
08426097 Riedlingen, Stadt;7691;7031;660;0;4559;631;45;4514;2414;643;828;208;;;;;;168;56;;;50;71;;;76;;;
08426100 Rot an der Rot;3342;3168;174;0;2125;169;26;2099;1274;231;355;52;;;;;;26;26;;;28;61;;;46;;;
08426108 Schwendi;4762;4373;389;0;3127;361;67;3060;1607;418;579;98;;;;;;57;87;;;38;100;;;76;;;
08426109 Seekirch;206;199;7;0;148;0;3;145;99;20;17;3;;;;;;1;1;;;1;0;;;3;;;
08426113 Steinhausen an der Rottum;1506;1458;48;0;1008;0;11;997;595;98;164;27;;;;;;12;38;;;13;19;;;31;;;
08426117 Tannheim;1788;1563;225;0;958;220;14;944;487;111;217;30;;;;;;17;11;;;8;46;;;17;;;
08426118 Tiefenbach;394;373;21;0;267;0;8;259;132;50;39;15;;;;;;4;8;;;1;8;;;2;;;
08426120 Ummendorf;3347;2933;414;0;2317;400;29;2288;1005;449;549;115;;;;;;41;40;;;9;28;;;52;;;
08426121 Unlingen;1809;1683;126;0;1273;123;19;1254;814;110;186;39;;;;;;24;12;;;18;33;;;18;;;
08426124 Uttenweiler;2718;2562;156;0;1916;144;35;1881;1141;232;248;72;;;;;;42;52;;;27;28;;;39;;;
08426125 Wain;1122;1006;114;2;760;111;12;748;366;98;105;47;;;;;;22;34;;;27;25;;;24;;;
08426128 Warthausen;3894;3439;455;0;2680;436;33;2647;1203;585;523;121;;;;;;70;35;;;10;45;;;55;;;
08426134 Schemmerhofen;5909;5429;480;0;3993;471;60;3933;2184;632;600;150;;;;;;84;84;;;24;64;;;111;;;
08426135 Gutenzell-Hürbel;1397;1323;74;0;877;3;12;865;462;87;161;37;;;;;;9;43;;;15;26;;;25;;;
08426991 Briefwahl für mehrere Gemeinden;;;;;402;402;2;400;210;51;74;15;;;;;;15;15;;;5;9;;;6;;;
08435005 Bermatingen;2880;2528;352;0;2081;336;14;2067;769;433;562;128;;;;;;61;11;;;20;20;;;63;;;
08435010 Daisendorf;1203;979;224;0;923;215;7;916;337;185;252;75;;;;;;20;8;;;11;9;;;19;;;
08435013 Eriskirch;3352;2960;392;0;2244;362;30;2214;933;440;516;101;;;;;;79;24;;;18;45;;;58;;;
08435015 Frickingen;2153;1945;208;0;1503;198;20;1483;636;246;382;94;;;;;;56;10;;;14;15;;;30;;;
08435016 Friedrichshafen, Stadt;41429;36799;4629;1;25528;4335;309;25219;9587;6211;5512;1262;;;;;;1065;245;;;261;404;;;672;;;
08435018 Hagnau am Bodensee;924;763;161;0;862;152;22;840;377;113;114;205;;;;;;9;2;;;4;6;;;10;;;
08435020 Heiligenberg;2178;1934;244;0;1572;231;18;1554;564;219;578;91;;;;;;42;10;;;10;10;;;30;;;
08435024 Immenstaad am Bodensee;4805;4058;747;0;3540;717;39;3501;1358;755;902;257;;;;;;77;26;;;15;43;;;68;;;
08435029 Kressbronn am Bodensee;6008;5341;667;0;4048;632;52;3996;1746;772;968;213;;;;;;121;34;;;21;40;;;81;;;
08435030 Langenargen;5876;4972;904;0;4128;866;42;4086;1725;790;1023;264;;;;;;96;30;;;28;51;;;79;;;
08435034 Markdorf, Stadt;9485;8134;1351;0;6454;1280;63;6391;2403;1260;1817;366;;;;;;161;46;;;55;109;;;174;;;
08435035 Meckenbeuren;9831;8939;888;4;6127;832;74;6053;2695;1141;1448;219;;;;;;189;48;;;41;98;;;174;;;
08435036 Meersburg, Stadt;4068;3400;668;0;2771;639;40;2731;1026;490;792;201;;;;;;76;27;;;21;34;;;64;;;
08435042 Neukirch;1960;1787;173;0;1346;163;18;1328;636;199;302;53;;;;;;48;17;;;4;23;;;46;;;
08435045 Oberteuringen;3333;2960;373;0;2225;360;31;2194;989;415;488;114;;;;;;53;23;;;15;34;;;63;;;
08435047 Owingen;3138;2802;336;0;2296;317;27;2269;859;373;672;198;;;;;;63;15;;;15;28;;;46;;;
08435052 Salem;8169;7235;934;0;5949;889;54;5895;2189;1059;1798;409;;;;;;197;27;;;32;52;;;132;;;
08435053 Sipplingen;1647;1400;247;0;1210;238;15;1195;409;192;292;247;;;;;;33;3;;;4;4;;;11;;;
08435054 Stetten;763;671;92;0;572;87;6;566;220;114;165;44;;;;;;11;1;;;2;6;;;3;;;
08435057 Tettnang, Stadt;13651;12171;1480;0;9020;1394;117;8903;3941;1482;2379;380;;;;;;244;79;;;62;127;;;209;;;
08435059 Überlingen, Stadt;16653;13761;2892;0;11702;2701;132;11570;3826;2017;3833;1216;;;;;;299;43;;;70;68;;;198;;;
08435066 Uhldingen-Mühlhofen;5743;4798;945;0;4004;914;59;3945;1366;823;1148;304;;;;;;138;18;;;33;35;;;80;;;
08435067 Deggenhausertal;3184;2833;351;0;2268;329;29;2239;990;377;544;122;;;;;;68;21;;;14;25;;;78;;;
08436001 Achberg;1204;1093;111;0;797;109;5;792;356;108;219;27;;;;;;19;9;;;5;29;;;20;;;
08436003 Aichstetten;2021;1891;130;0;1298;126;22;1276;717;152;273;30;;;;;;26;11;;;15;44;;;8;;;
08436004 Aitrach;1896;1779;117;0;1190;105;15;1175;582;208;237;43;;;;;;25;12;;;20;33;;;15;;;
08436005 Altshausen;3085;2790;295;0;1482;0;15;1467;792;228;254;59;;;;;;31;16;;;14;48;;;25;;;
08436006 Amtzell;2885;2546;339;0;2076;337;12;2064;1168;258;482;47;;;;;;24;9;;;10;42;;;24;;;
08436008 Aulendorf, Stadt;7353;6569;784;0;4218;738;40;4178;1772;794;1038;159;;;;;;85;79;;;50;98;;;103;;;
08436009 Bad Waldsee, Stadt;14719;13014;1705;0;9109;1602;129;8980;4316;1572;2093;327;;;;;;193;69;;;62;178;;;170;;;
08436010 Bad Wurzach, Stadt;10196;9414;782;0;6621;749;71;6550;3563;868;1287;241;;;;;;125;112;;;60;187;;;107;;;
08436011 Baienfurt;5167;4701;466;0;3132;448;53;3079;1436;605;634;132;;;;;;75;40;;;23;55;;;79;;;
08436012 Baindt;3735;3433;302;0;2346;281;32;2314;1066;421;543;102;;;;;;45;20;;;16;43;;;58;;;
08436013 Berg;3102;2722;380;0;2161;361;25;2136;969;309;522;175;;;;;;35;28;;;24;39;;;35;;;
08436014 Bergatreute;2420;2236;184;0;1593;176;20;1573;788;219;358;52;;;;;;32;26;;;31;39;;;28;;;
08436018 Bodnegg;2423;2135;288;0;1600;271;14;1586;661;235;464;55;;;;;;36;18;;;12;64;;;41;;;
08436019 Boms;449;423;26;0;267;0;4;263;118;43;62;17;;;;;;2;6;;;3;6;;;6;;;
08436024 Ebenweiler;910;863;47;0;555;2;9;546;255;65;144;19;;;;;;14;12;;;3;13;;;21;;;
08436027 Eichstegen;391;353;38;0;246;0;6;240;143;21;35;14;;;;;;5;2;;;2;8;;;10;;;
08436032 Fleischwangen;488;451;37;0;316;0;3;313;169;45;72;7;;;;;;4;4;;;2;5;;;5;;;
08436039 Grünkraut;2284;2005;279;0;1571;265;15;1556;615;242;412;55;;;;;;13;14;;;12;157;;;36;;;
08436040 Guggenhausen;136;125;11;0;96;0;2;94;59;5;25;1;;;;;;1;3;;;0;0;;;0;;;
08436047 Hoßkirch;589;503;86;0;338;0;4;334;180;54;67;9;;;;;;3;4;;;3;6;;;8;;;
08436049 Isny im Allgäu, Stadt;9883;8898;985;0;6056;923;77;5979;2385;1586;1209;215;;;;;;215;84;;;40;156;;;89;;;
08436052 Kißlegg;6507;5830;677;0;4373;629;46;4327;2137;599;1073;111;;;;;;101;29;;;27;137;;;113;;;
08436053 Königseggwald;511;441;70;0;303;0;3;300;157;38;66;3;;;;;;9;6;;;2;14;;;5;;;
08436055 Leutkirch im Allgäu, Stadt;16428;15219;1209;0;10278;1147;123;10155;4899;1574;2164;395;;;;;;251;204;;;77;378;;;213;;;
08436064 Ravensburg, Stadt;35517;30997;4520;0;22538;4220;213;22325;8801;4093;6653;1038;;;;;;531;134;;;125;464;;;486;;;
08436067 Riedhausen;482;451;31;0;338;0;4;334;210;40;46;16;;;;;;6;3;;;3;4;;;6;;;
08436069 Schlier;2826;2442;384;0;2058;371;21;2037;853;329;601;91;;;;;;25;25;;;14;61;;;38;;;
08436077 Unterwaldhausen;211;190;21;0;147;0;0;147;71;10;41;12;;;;;;3;1;;;0;3;;;6;;;
08436078 Vogt;3368;2928;440;0;2222;425;26;2196;916;368;646;69;;;;;;63;35;;;10;41;;;48;;;
08436079 Waldburg;2323;2062;261;0;1723;244;18;1705;689;239;493;75;;;;;;48;24;;;12;73;;;52;;;
08436081 Wangen im Allgäu, Stadt;19705;17058;2647;0;12989;2490;136;12853;5830;2275;3278;363;;;;;;276;115;;;77;410;;;229;;;
08436082 Weingarten, Stadt;17159;15271;1888;0;10037;1750;154;9883;4012;2152;2441;378;;;;;;344;88;;;50;185;;;233;;;
08436083 Wilhelmsdorf;3371;2943;428;0;2396;407;21;2375;1038;377;690;86;;;;;;39;19;;;17;63;;;46;;;
08436085 Wolfegg;2630;2391;239;0;1799;222;16;1783;857;283;420;65;;;;;;29;22;;;10;64;;;33;;;
08436087 Wolpertswende;3051;2829;222;0;1970;207;15;1955;994;329;390;98;;;;;;36;25;;;18;34;;;31;;;
08436093 Ebersbach-Musbach;1302;1234;68;0;795;0;19;776;376;126;174;23;;;;;;24;17;;;8;17;;;11;;;
08436094 Argenbühl;4587;4267;320;0;3131;303;34;3097;1640;374;704;77;;;;;;68;46;;;15;125;;;48;;;
08436095 Horgenzell;3483;3197;286;0;2434;268;32;2402;1286;263;569;84;;;;;;43;23;;;17;69;;;48;;;
08436096 Fronreute;3394;3108;286;0;2391;273;30;2361;1179;362;550;91;;;;;;35;30;;;17;54;;;43;;;
08436991 Briefwahl für mehrere Gemeinden;;;;;698;698;0;698;339;84;176;31;;;;;;16;5;;;5;21;;;21;;;
08437005 Beuron;562;474;88;0;410;85;4;406;204;56;106;23;;;;;;6;1;;;2;6;;;2;;;
08437008 Bingen;2113;1926;187;0;1486;171;22;1464;718;257;338;46;;;;;;28;25;;;14;10;;;28;;;
08437031 Gammertingen, Stadt;4634;4144;490;0;3048;465;63;2985;1603;494;493;144;;;;;;75;48;;;32;50;;;46;;;
08437044 Herbertingen;3611;3434;177;0;2299;171;50;2249;1177;419;300;128;;;;;;40;80;;;22;28;;;55;;;
08437047 Hettingen, Stadt;1432;1329;103;0;1114;101;5;1109;755;133;137;31;;;;;;12;17;;;6;8;;;10;;;
08437053 Hohentengen;3133;2961;172;0;2132;169;32;2100;1177;269;278;139;;;;;;42;97;;;17;36;;;45;;;
