Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08125005 Bad Friedrichshall, Stadt;12470;11419;1051;0;7302;1007;115;7187;2874;1870;1338;294;50;;50;;;221;115;;;157;39;;;179;;;
08125006 Bad Rappenau, Stadt;15529;13946;1583;0;9209;1499;146;9063;3619;2424;1610;459;71;;;;;237;141;;;78;232;;;192;;;
08125007 Bad Wimpfen, Stadt;5049;4504;545;0;3350;508;46;3304;1364;805;708;179;18;;12;;;72;21;;;34;20;;;71;;;
08125008 Beilstein, Stadt;4555;3861;694;0;3439;663;45;3394;1351;718;803;291;31;;;;;59;32;;;22;19;;;68;;;
08125013 Brackenheim, Stadt;10924;9692;1232;0;7614;1173;108;7506;2965;1545;1704;467;44;;;;;164;111;;;266;98;;;142;;;
08125017 Cleebronn;1927;1720;207;0;1408;205;25;1383;726;202;255;73;4;;;;;44;18;;;34;10;;;17;;;
08125021 Eberstadt;2374;2197;177;0;1657;166;30;1627;619;420;351;99;10;;8;;;31;23;;;19;11;;;36;;;
08125024 Ellhofen;2508;2284;224;0;1770;218;14;1756;655;479;333;80;18;;9;;;85;18;;;32;10;;;37;;;
08125026 Eppingen, Stadt;15069;13387;1682;0;9296;1600;159;9137;3911;2259;1589;426;92;;;;;227;160;;;165;104;;;204;;;
08125027 Erlenbach;3790;3318;472;0;2763;452;23;2740;1368;575;473;115;17;;9;;;47;27;;;28;15;;;66;;;
08125030 Flein;5062;4290;772;0;3836;732;42;3794;1575;935;778;292;;;4;;;71;21;;;17;29;;;72;;;
08125034 Gemmingen;3509;3229;280;0;2321;268;46;2275;898;621;409;96;14;;;;;54;45;;;34;41;;;63;;;
08125038 Güglingen, Stadt;3785;3265;520;0;2538;497;34;2504;1050;541;459;161;18;;;;;75;54;;;66;25;;;55;;;
08125039 Gundelsheim, Stadt;5423;4917;506;0;3735;466;59;3676;1910;756;537;156;19;;10;;;83;59;;;59;28;;;59;;;
08125046 Ilsfeld;6174;5480;694;0;4587;663;53;4534;1931;1007;946;249;39;;;;;91;60;;;68;31;;;112;;;
08125047 Ittlingen;1657;1509;148;0;1109;141;11;1098;492;262;179;44;12;;;;;26;19;;;20;14;;;30;;;
08125048 Jagsthausen;1083;963;120;0;740;115;9;731;254;197;172;48;4;;1;;;28;7;;;5;5;;;10;;;
08125049 Kirchardt;3782;3535;247;0;2130;233;28;2102;975;482;348;81;20;;;;;52;43;;;32;19;;;50;;;
08125056 Lauffen am Neckar, Stadt;7780;6652;1128;0;5471;1093;62;5409;1930;1446;1307;328;30;;;;;112;45;;;44;49;;;118;;;
08125057 Lehrensteinsfeld;1626;1477;149;0;1194;141;9;1185;417;331;272;64;9;;1;;;25;16;;;13;5;;;32;;;
08125058 Leingarten;8134;7290;844;0;5550;807;73;5477;1897;1464;1286;372;;;16;;;122;71;;;90;41;;;118;;;
08125059 Löwenstein, Stadt;2395;2146;249;0;1628;226;21;1607;604;408;351;87;9;;3;;;50;14;;;34;12;;;35;;;
08125061 Massenbachhausen;2627;2360;267;0;1788;260;15;1773;858;425;240;60;14;;;;;54;20;;;40;18;;;44;;;
08125063 Möckmühl, Stadt;5746;5216;530;0;3349;509;50;3299;1374;850;647;130;31;;14;;;72;31;;;61;22;;;67;;;
08125065 Neckarsulm, Stadt;16941;15539;1402;0;10577;1325;155;10422;4072;2879;1987;440;54;;105;;;262;158;;;151;39;;;275;;;
08125066 Neckarwestheim;2572;2250;322;0;1808;311;20;1788;872;373;248;137;8;;;;;44;19;;;24;16;;;47;;;
08125068 Neudenau, Stadt;3767;3477;290;0;2562;279;44;2518;1176;531;468;99;17;;5;;;54;41;;;54;18;;;55;;;
08125069 Neuenstadt am Kocher, Stadt;7157;6576;581;0;4523;560;60;4463;1988;1000;817;192;44;;14;;;140;67;;;99;24;;;78;;;
08125074 Nordheim;5584;5012;572;0;3886;548;51;3835;1505;990;802;228;;;11;;;88;56;;;39;40;;;76;;;
