nuts-id	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
ITE1	13941.5 	14283.3 	14422.6 	14920.6 	15660.3 	16139.8 	16130.7 	16456.6 	16472.1 	16735.2 	17287.9 	17978.6 
ITE2	12819.8 	13099.5 	13449.9 	13926.7 	14579.1 	14967.2 	14777.9 	14838.4 	15213.2 	15278.7 	15674.4 	16123.5 
ITE3	13227.3 	13529.6 	13607.2 	14012.3 	14541.0 	14896.9 	14879.1 	15103.5 	15193.4 	15680.5 	16229.6 	16680.4 
ITE4	13065.1 	13501.2 	13652.2 	13864.8 	14585.6 	15218.1 	15641.2 	15820.3 	16161.4 	16515.4 	16514.5 	17114.6 
ITF1	10690.2 	10865.4 	10977.7 	11086.0 	11837.9 	12452.6 	12476.7 	12425.8 	12108.6 	12499.6 	12984.0 	13576.5 
ITF2	9313.5 	9891.5 	10163.3 	10458.7 	10854.7 	10985.8 	10896.1 	11078.3 	11164.0 	11403.9 	12226.0 	12742.4 
ITF3	8168.9 	8485.1 	8833.1 	9052.7 	9642.7 	9991.6 	10256.3 	10338.2 	10334.5 	10643.8 	10954.2 	11343.8 
ITF4	8430.1 	8654.9 	8776.8 	9142.4 	9764.9 	10218.9 	10366.4 	10519.1 	10527.0 	10829.9 	11289.9 	11744.7 
ITF5	8651.5 	9006.9 	9423.5 	9933.9 	10434.5 	10277.7 	10764.7 	11024.3 	11152.2 	11422.2 	11988.6 	12537.7 
ITF6	7882.3 	8293.1 	8574.1 	8945.4 	9291.2 	9759.9 	9881.7 	10186.2 	10276.6 	10585.3 	11094.8 	11434.8 
ITG1	8247.9 	8612.9 	8837.6 	9104.1 	9626.2 	10060.6 	10076.8 	10228.8 	10279.5 	10702.1 	10975.4 	11365.1 
ITG2	8941.2 	9517.1 	9814.8 	10134.8 	10766.1 	11272.3 	11318.6 	11723.4 	11796.8 	11962.4 	12496.8 	12900.6 
LT00	2924.3 	3377.5 	3810.9 	3929.7 	4350.1 	4609.5 	5071.5 	5692.4 	6121.9 	6839.1 	7548.9 	8091.8 
LV00	2640.0 	2974.6 	3019.3 	3171.6 	3657.6 	3898.9 	4385.6 	4765.7 	5264.7 	5801.3 	6775.6 	7736.2 
NL11	9498.4 	9958.3 	10426.2 	10944.6 	11365.3 	11568.8 	12559.9 	12246.4 	11856.6 	12153.3 	12605.9 	13675.3 
NL12	9370.9 	9649.3 	10437.9 	11085.5 	11669.1 	12006.6 	12570.5 	11975.3 	12800.4 	12875.0 	13202.4 	14368.1 
NL13	9677.5 	10232.9 	10890.4 	11452.9 	11750.8 	12171.6 	12904.5 	12475.0 	12622.9 	13317.4 	13353.3 	14454.9 
